time,ax,ay,az,wx,wy,wz
2025-10-17T13:56:28.742Z,2.4701,0.4869,2.0233,0.1599,0.3021,-0.4763
2025-10-17T13:56:28.748Z,1.4934,0.9789,1.8083,0.1554,0.1857,-0.2733
2025-10-17T13:56:28.753Z,1.4934,0.9789,1.8083,0.1647,0.2456,-0.1888
2025-10-17T13:56:28.764Z,0.6720,0.2839,1.8023,0.1899,0.1129,-0.2838
2025-10-17T13:56:28.774Z,1.8684,-0.6831,1.7828,0.1843,0.0348,-0.4476
2025-10-17T13:56:28.783Z,2.9191,-0.8234,1.4692,0.1656,-0.0084,-0.5672
2025-10-17T13:56:28.794Z,2.9449,-0.1157,1.3395,0.1192,-0.1399,-0.5895
2025-10-17T13:56:28.805Z,2.6593,0.6799,1.2406,0.0481,-0.2637,-0.5544
2025-10-17T13:56:28.813Z,2.3618,1.0699,1.0980,-0.0159,-0.4265,-0.5273
2025-10-17T13:56:28.824Z,2.3177,1.0743,1.0022,-0.0684,-0.6338,-0.5375
2025-10-17T13:56:28.834Z,2.5814,0.9256,1.1529,-0.1107,-0.8326,-0.5811
2025-10-17T13:56:28.844Z,2.8481,0.8208,1.3175,-0.1575,-1.0570,-0.6414
2025-10-17T13:56:28.855Z,2.9758,0.8240,1.4558,-0.1952,-1.1972,-0.6891
2025-10-17T13:56:28.864Z,2.8914,0.8172,1.6588,-0.2021,-1.2646,-0.7061
2025-10-17T13:56:28.874Z,2.8657,0.7584,2.0118,-0.1979,-1.3177,-0.7188
2025-10-17T13:56:28.884Z,3.0497,0.6426,2.3604,-0.1834,-1.3969,-0.7734
2025-10-17T13:56:28.894Z,3.2757,0.4990,2.5553,-0.1857,-1.4158,-0.8707
2025-10-17T13:56:28.904Z,3.4246,0.3779,2.5596,-0.1702,-1.3667,-0.9730
2025-10-17T13:56:28.914Z,3.4835,0.2863,2.4038,-0.1608,-1.2740,-1.0564
2025-10-17T13:56:28.923Z,3.3570,0.2106,2.2605,-0.1371,-1.1721,-1.1218
2025-10-17T13:56:28.934Z,3.0478,0.1206,2.0642,-0.1144,-1.0637,-1.1774
2025-10-17T13:56:28.944Z,2.8159,-0.0350,2.0943,-0.1060,-0.9544,-1.2357
2025-10-17T13:56:28.955Z,2.7157,-0.1960,2.0430,-0.1066,-0.7820,-1.2856
2025-10-17T13:56:28.964Z,2.7628,-0.3400,2.0557,-0.1117,-0.5653,-1.3292
2025-10-17T13:56:28.973Z,2.7961,-0.4255,2.0901,-0.1227,-0.4211,-1.3810
2025-10-17T13:56:28.984Z,2.5765,-0.3990,2.1417,-0.1489,-0.4479,-1.4607
2025-10-17T13:56:28.994Z,2.1527,-0.3412,2.0763,-0.2075,-0.5673,-1.5590
2025-10-17T13:56:29.005Z,1.5429,-0.2547,1.6530,-0.2529,-0.7348,-1.6317
2025-10-17T13:56:29.014Z,1.1878,-0.0814,1.5572,-0.3017,-0.8346,-1.6997
2025-10-17T13:56:29.024Z,1.2062,0.1519,1.5480,-0.3612,-0.8313,-1.7765
2025-10-17T13:56:29.034Z,1.3067,0.3381,1.4593,-0.4039,-0.8232,-1.8682
2025-10-17T13:56:29.044Z,1.5121,0.4084,1.3948,-0.4403,-0.8037,-1.9600
2025-10-17T13:56:29.055Z,1.3467,0.1785,1.4747,-0.4467,-0.7284,-2.0487
2025-10-17T13:56:29.064Z,0.7182,-0.3010,1.6118,-0.4286,-0.7654,-2.1373
2025-10-17T13:56:29.073Z,0.4256,-0.9061,1.6862,-0.3945,-0.8159,-2.2286
2025-10-17T13:56:29.084Z,0.1854,-1.5393,1.6960,-0.3176,-0.7711,-2.3143
2025-10-17T13:56:29.094Z,-0.2799,-2.1966,1.7162,-0.1941,-0.6481,-2.3882
2025-10-17T13:56:29.105Z,-0.5028,-2.8872,1.8054,-0.0365,-0.4183,-2.4714
2025-10-17T13:56:29.113Z,-0.7158,-3.6988,1.7868,0.1666,-0.0793,-2.5227
2025-10-17T13:56:29.124Z,-1.3329,-4.7098,1.4171,0.4132,0.1641,-2.5324
2025-10-17T13:56:29.134Z,-2.2644,-5.6852,1.0496,0.6584,0.3564,-2.4956
2025-10-17T13:56:29.144Z,-3.5258,-6.5016,0.4447,0.9179,0.5399,-2.3991
2025-10-17T13:56:29.153Z,-4.9554,-7.1051,-0.3165,1.1484,0.6261,-2.2461
2025-10-17T13:56:29.164Z,-6.0554,-7.3666,-1.2658,1.3132,0.6479,-2.0525
2025-10-17T13:56:29.173Z,-6.9313,-7.3452,-2.5850,1.4330,0.7880,-1.7666
2025-10-17T13:56:29.184Z,-7.9712,-7.2070,-3.7857,1.4491,0.9448,-1.3741
2025-10-17T13:56:29.194Z,-8.9701,-6.9650,-4.7609,1.3616,0.9388,-0.9072
2025-10-17T13:56:29.204Z,-9.7303,-6.3806,-5.5849,1.1506,0.6359,-0.4115
2025-10-17T13:56:29.214Z,-10.5785,-5.5204,-6.4455,0.8527,0.0783,0.0803
2025-10-17T13:56:29.224Z,-11.6336,-4.4445,-7.5457,0.5547,-0.6531,0.5563
2025-10-17T13:56:29.234Z,-12.5694,-3.2220,-8.2055,0.2921,-1.4862,0.9651
2025-10-17T13:56:29.243Z,-12.6579,-2.1294,-8.4129,0.0676,-2.3474,1.2532
2025-10-17T13:56:29.253Z,-11.2879,-1.2214,-8.2962,-0.0868,-3.0284,1.4133
2025-10-17T13:56:29.264Z,-8.6676,-0.4744,-7.8536,-0.1867,-3.3615,1.4776
2025-10-17T13:56:29.274Z,-5.6917,-0.0047,-6.8299,-0.2670,-3.4813,1.4605
2025-10-17T13:56:29.284Z,-2.6117,0.2193,-6.0919,-0.3291,-3.3776,1.3756
2025-10-17T13:56:29.294Z,0.3122,0.4647,-5.3176,-0.3710,-3.1153,1.2407
2025-10-17T13:56:29.303Z,2.5606,0.8992,-4.3267,-0.4211,-2.8010,1.0836
2025-10-17T13:56:29.314Z,3.9656,1.4778,-3.6280,-0.4999,-2.4929,0.9216
2025-10-17T13:56:29.324Z,4.5306,2.0508,-3.3461,-0.5806,-2.2983,0.7723
2025-10-17T13:56:29.334Z,4.5325,2.4058,-3.3979,-0.6697,-2.2564,0.6348
2025-10-17T13:56:29.344Z,4.4110,2.3496,-3.8888,-0.7745,-2.2715,0.5054
2025-10-17T13:56:29.354Z,4.6713,1.9209,-4.5848,-0.9197,-2.2683,0.3554
2025-10-17T13:56:29.363Z,5.6772,1.4819,-5.2606,-1.1100,-2.1676,0.1552
2025-10-17T13:56:29.373Z,7.0115,1.3583,-6.0175,-1.3492,-1.9808,-0.0817
2025-10-17T13:56:29.383Z,8.0992,1.5542,-7.1848,-1.6082,-1.7107,-0.3413
2025-10-17T13:56:29.394Z,8.7428,1.7824,-7.7696,-1.9199,-1.4268,-0.5982
