time,gyroX_mdps_filtered,gyroY_mdps_filtered,gyroZ_mdps_filtered,accX_mg_filtered,accY_mg_filtered,accZ_mg_filtered,magX_mG_filtered,magY_mG_filtered,magZ_mG_filtered
0.0,-40.289035926937125,127.05255404237897,-186.71147420609864,-1440.2462427861328,-20.138441574514054,-246.37897439618615,526.1274937826089,-334.4463825230188,471.83606706010545
0.006,-36.48728962761095,134.37614276558563,-184.38252524010474,-1426.6533981908701,-27.105182077101436,-249.54475570471618,525.8060281142714,-334.1149481594247,472.3867981617265
0.01,-32.67344515890153,141.51775671781516,-181.95678840559512,-1413.0179791156952,-33.681954734383886,-252.5268913957364,525.4966751658748,-333.77512498457395,472.9392826353995
0.015,-28.859843777174465,148.40682512783394,-179.46797533946915,-1399.3330592724456,-39.7889034680239,-255.28620312703677,525.1997323948407,-333.4286087789093,473.49258762037636
0.02,-25.060337289153065,154.97735924049735,-176.94505706351376,-1385.5898459051418,-45.35345950937046,-257.7871971415812,524.9152788250179,-333.07702598880815,474.0458429066907
0.024,-21.290289599972535,161.16927225553437,-174.41098302474242,-1371.7786042438759,-50.3119067431243,-259.9989609247293,524.6431927246789,-332.7219035146678,474.5982249227767
0.029,-17.566507345905446,166.92952773791086,-171.88177946326488,-1357.8895860818402,-54.61080859024712,-261.8959449032358,524.3831625136113,-332.36464463645007,475.14894326479634
0.034,-13.90709112543956,172.21308069571637,-169.3660919074098,-1343.9139315065445,-58.2082579534942,-263.45860031584067,524.1346910335355,-332.0065120604389,475.69723164360823
0.039,-10.331200298612384,176.98358277633682,-166.86520480716263,-1329.8445139743515,-61.07491091379407,-264.6738491847201,523.8970945953404,-331.6486185635779,476.2423446540449
0.043,-6.858727153526724,181.2138306473113,-164.3735340766244,-1315.6767006208677,-63.194765408140505,-265.5353685946206,523.6694990284416,-331.29192514388455,476.78356101007194
0.047,-3.5098801832693245,184.88594431460555,-161.87955168049228,-1301.409002696933,-64.56564739664866,-266.04367884136093,523.4508353897793,-330.93724608136256,477.32019297693927
0.053,-0.3046808888633986,187.99126992199646,-159.36707208108004,-1287.0435963079588,-65.19936875761277,-266.20603287854334,523.2398380139588,-330.5852599338619,477.85160074977324
0.057,2.737616318222299,190.5300097076194,-156.81681261260567,-1272.586701441269,-65.12152486169595,-266.03611217957933,523.0350472056391,-330.2365252355609,478.3772095846235
0.062,5.5991659747227995,192.51059036966052,-154.2081332658421,-1258.0488166327186,-64.37090865566877,-265.5535409257279,522.8348181994223,-329.89149946824637,478.8965268177265
0.067,8.264214035334616,193.9487899750736,-151.52086220009036,-1243.4448161886214,-62.998534377152076,-264.78323583539634,522.6373371835706,-329.5505596553108,479.40915580773554
0.071,10.71979327653613,194.86665252578044,-148.73711788351085,-1228.793925531707,-61.06628644692589,-263.7546128604939,522.4406442979086,-329.21402268299136,479.9148043732425
0.076,12.956397190703756,195.29122809625753,-145.84304540137416,-1214.1195965387597,-58.64523322515641,-262.5006746948566,522.2426626283674,-328.8821632906179,480.41328617229027
0.081,14.968592051781073,195.25318447032535,-142.8303928633152,-1199.4493065454697,-55.81366625197586,-261.0570052166626,522.0412314042144,-328.55522771534305,480.9045142993513
