time,ax,ay,az,wx,wy,wz
2025-10-17T13:58:50.315Z,2.0920,1.2611,2.1720,-0.2306,-0.1079,-0.1282
2025-10-17T13:58:50.330Z,3.6691,1.7141,2.3283,-0.3081,0.4108,-0.1565
2025-10-17T13:58:50.336Z,3.6691,1.7141,2.3283,-0.3404,0.6599,-0.2150
2025-10-17T13:58:50.348Z,4.9739,1.9704,2.3088,-0.3905,0.8387,-0.2458
2025-10-17T13:58:50.358Z,5.1211,2.2108,2.2270,-0.4339,0.9857,-0.2845
2025-10-17T13:58:50.368Z,5.3801,2.3580,2.3326,-0.4803,0.9636,-0.3435
2025-10-17T13:58:50.379Z,5.3419,2.4548,2.4913,-0.5249,0.7467,-0.4366
2025-10-17T13:58:50.387Z,5.3419,2.4548,2.4913,-0.5430,0.3712,-0.5521
2025-10-17T13:58:50.398Z,3.9864,2.4357,3.0622,-0.5634,-0.1332,-0.6626
2025-10-17T13:58:50.408Z,3.2600,2.3955,3.4311,-0.5575,-0.6643,-0.7818
2025-10-17T13:58:50.418Z,2.8139,2.2594,3.7136,-0.5534,-1.1757,-0.9170
2025-10-17T13:58:50.429Z,2.7459,2.0476,3.9213,-0.5298,-1.6160,-1.0855
2025-10-17T13:58:50.437Z,2.7459,2.0476,3.9213,-0.4905,-1.9233,-1.2767
2025-10-17T13:58:50.448Z,3.5645,1.4856,4.2074,-0.4662,-2.0719,-1.4646
2025-10-17T13:58:50.457Z,3.5645,1.4856,4.2074,-0.4641,-2.1812,-1.6364
2025-10-17T13:58:50.467Z,3.8726,1.2407,3.8488,-0.4524,-2.2350,-1.8091
2025-10-17T13:58:50.479Z,3.7526,0.8265,4.0260,-0.4212,-2.1856,-1.9807
2025-10-17T13:58:50.486Z,3.7526,0.8265,4.0260,-0.3989,-2.1190,-2.1462
2025-10-17T13:58:50.497Z,3.5493,0.5765,4.0699,-0.3677,-1.9472,-2.3064
2025-10-17T13:58:50.507Z,3.3287,0.2131,3.9547,-0.3523,-1.6298,-2.4494
2025-10-17T13:58:50.517Z,2.9839,-0.2512,3.8140,-0.2949,-1.2936,-2.5603
2025-10-17T13:58:50.529Z,2.2212,-1.2566,4.1378,-0.2183,-1.0220,-2.6471
2025-10-17T13:58:50.537Z,2.2212,-1.2566,4.1378,-0.1292,-0.7463,-2.7141
2025-10-17T13:58:50.547Z,1.1364,-1.8699,3.9822,-0.0495,-0.4624,-2.7483
2025-10-17T13:58:50.557Z,-0.2128,-2.6247,3.6816,0.0417,-0.0769,-2.7296
2025-10-17T13:58:50.567Z,-1.5515,-3.3161,2.9133,0.2235,0.3340,-2.6768
2025-10-17T13:58:50.579Z,-2.4793,-4.3830,3.5109,0.3540,0.6007,-2.6516
2025-10-17T13:58:50.587Z,-2.4793,-4.3830,3.5109,0.3676,0.7477,-2.6356
2025-10-17T13:58:50.597Z,-2.4018,-4.6522,3.6312,0.3608,0.7233,-2.5774
