time,ax,ay,az,wx,wy,wz
2025-10-18T10:02:03.846Z,2.5038,0.3283,0.5836,0.0033,0.1235,-0.2613
2025-10-18T10:02:03.856Z,3.4529,0.4345,0.3912,-0.0260,0.2021,-0.2011
2025-10-18T10:02:03.865Z,5.1789,0.4915,0.1966,-0.0109,0.2294,-0.1951
2025-10-18T10:02:03.876Z,5.1854,0.5657,0.1368,0.0037,0.1155,-0.1374
2025-10-18T10:02:03.886Z,4.7808,0.6064,0.1181,0.0241,0.0022,-0.0641
2025-10-18T10:02:03.895Z,4.6085,0.5816,0.1657,0.0234,-0.0295,-0.0651
2025-10-18T10:02:03.906Z,4.3126,0.4897,0.2591,-0.0146,-0.0999,0.0314
2025-10-18T10:02:03.915Z,3.8063,0.3867,0.4602,-0.0389,-0.1216,0.1185
2025-10-18T10:02:03.926Z,3.5185,0.3958,0.7171,-0.0447,-0.1270,0.1976
2025-10-18T10:02:03.936Z,3.5332,0.4702,0.8217,-0.0544,-0.1154,0.2467
2025-10-18T10:02:03.945Z,3.6658,0.6292,0.9874,-0.0644,-0.1447,0.2707
2025-10-18T10:02:03.959Z,3.8662,0.9100,1.1775,-0.0851,-0.1358,0.2708
2025-10-18T10:02:03.965Z,4.0504,1.2418,1.3059,-0.1316,-0.0542,0.2787
2025-10-18T10:02:03.976Z,4.1596,1.4794,1.4870,-0.1578,0.2272,0.1379
2025-10-18T10:02:03.986Z,4.2298,1.5432,1.5203,-0.0546,0.3213,-0.0181
2025-10-18T10:02:03.995Z,4.1212,1.5304,1.4212,0.0996,0.3481,-0.0388
2025-10-18T10:02:04.009Z,4.1999,1.5733,1.4718,0.0902,0.4022,-0.1017
2025-10-18T10:02:04.015Z,4.6117,1.5833,1.5055,0.0014,0.4702,-0.0709
2025-10-18T10:02:04.026Z,4.7012,1.4836,1.4463,-0.1419,0.5801,-0.0380
2025-10-18T10:02:04.035Z,4.2832,1.4213,1.5501,-0.3114,0.7920,-0.0741
2025-10-18T10:02:04.046Z,3.4923,1.4230,1.6752,-0.3281,0.9975,-0.2753
2025-10-18T10:02:04.058Z,2.3815,1.3667,1.5008,-0.1946,0.7841,-0.4643
2025-10-18T10:02:04.064Z,1.5193,1.4405,1.4483,-0.0475,0.5196,-0.4406
2025-10-18T10:02:04.076Z,1.0849,1.5687,1.6821,-0.0609,0.0777,-0.3905
2025-10-18T10:02:04.085Z,1.1351,1.6281,1.9650,-0.1681,-0.0468,-0.2749
2025-10-18T10:02:04.095Z,1.4288,1.5954,2.3120,-0.1522,-0.6647,-0.0360
