time,gyroX_mdps_filtered,gyroY_mdps_filtered,gyroZ_mdps_filtered,accX_mg_filtered,accY_mg_filtered,accZ_mg_filtered,magX_mG_filtered,magY_mG_filtered,magZ_mG_filtered
0.0,-2448.817235120627,-1797.0728509359055,-565.0893398985062,-969.7156598266026,316.97312944738576,620.7006866681033,0.0,0.0,0.0
0.004,-2407.6311718721036,-1792.9944151456962,-559.2422407179612,-949.7604789650018,292.42133433884885,618.6200431289419,0.0,0.0,0.0
0.009,-2366.387394731781,-1788.08086959012,-552.7372493051423,-929.8573548026627,268.1975341126908,616.4967644586271,0.0,0.0,0.0
0.014,-2325.2565829212213,-1782.2112829047917,-545.537786293789,-910.1044763053715,244.59406243958492,614.3435068407907,0.0,0.0,0.0
0.019,-2284.3970002320702,-1775.2622521920703,-537.6084268963185,-890.5974752055007,221.89608705392732,612.1729588864578,0.0,0.0,0.0
0.023,-2243.952224739083,-1767.1098273254913,-528.9154731083727,-871.4284734538459,200.37600769598177,609.9976347931865,0.0,0.0,0.0
0.028,-2204.0492176273005,-1757.6316387650063,-519.427711171471,-852.6851863039675,180.28834695812537,607.8296634864951,0.0,0.0,0.0
0.033,-2164.796782261298,-1746.7091934030898,-509.1173432889683,-834.4500932612225,161.86527838785156,605.6805760146733,0.0,0.0,0.0
0.037,-2126.2844626520246,-1734.230290763717,-497.96106061621094,-816.7996916318383,145.31289860868964,603.561094394261,0.0,0.0,0.0
0.042,-2088.581922843057,-1720.0915002718882,-485.9412056283531,-799.8038476450365,130.80831064705382,601.4809257076239,0.0,0.0,0.0
0.047,-2051.7388354161963,-1704.2006305625987,-473.04695788388693,-783.5252578156262,118.497546250967,599.4485654291517,0.0,0.0,0.0
0.051,-2015.7852891781931,-1686.47911477754,-459.2754690521255,-768.0190292895433,108.49431748951177,597.4711138111381,0.0,0.0,0.0
0.056,-1980.7327051185284,-1666.864232016978,-444.6328716016869,-753.3323838554752,100.87955418610693,595.5541087084031,0.0,0.0,0.0
0.061,-1946.5752286348331,-1645.3110850210921,-429.1350909076239,-739.5044870652204,95.70165596859509,593.7013773157809,0.0,0.0,0.0
0.066,-1913.2915472723996,-1621.7942582851774,-412.8084016739215,-726.5664012498329,92.97736803486913,591.9149079410905,0.0,0.0,0.0
0.07,-1880.847068184305,-1596.3090894548982,-395.689684586132,-714.5411580842862,92.69317930336524,590.1947415514588,0.0,0.0,0.0
0.075,-1849.196378192254,-1568.872499655447,-377.82635641329205,-703.4439417651981,94.80713982975695,588.5388820404478,0.0,0.0,0.0
0.08,-1818.2859008855073,-1539.5233444702822,-359.275965501134,-693.2823676723146,99.25099889947303,586.9432243830688,0.0,0.0,0.0
0.084,-1788.05665897079,-1508.3222654294873,-340.1054641235861,-684.0568345247747,105.9325733651511,585.4015010285468,0.0,0.0,0.0
0.089,-1758.4470462424774,-1475.3510409793255,-320.3901887652539,-675.7609222371422,114.73826594168915,583.9052485863622,0.0,0.0,0.0
0.094,-1729.3955129511885,-1440.7114553145404,-300.2125982930158,-668.3818045873822,125.53566483051938,582.4437985551052,0.0,0.0,0.0
0.098,-1700.8430719246644,-1404.523722936393,-279.6608370542802,-661.9006462503685,138.17616908200944,581.0042971604962,0.0,0.0,0.0
0.103,-1672.7355408336205,-1366.9245257584346,-258.82720323942794,-656.2929575501205,152.4975978165726,579.5717601393703,0.0,0.0,0.0
0.108,-1645.0254479798336,-1328.06473641485,-237.80660947049756,-651.5288866431306,168.3267542672224,578.1291684490701,0.0,0.0,0.0
0.113,-1617.6735439445572,-1288.106914076967,-216.69511997120975,-647.5734368705862,185.4819257500353,576.6576103381071,0.0,0.0,0.0
0.117,-1590.6498784846685,-1247.2226661067907,-195.58863633228884,-644.3866060882174,203.7753068981191,575.1364739661951,0.0,0.0,0.0
0.122,-1563.9344206139065,-1205.5899698642081,-174.58178405869583,-641.9234545875692,223.01533579359034,573.5436928909415,0.0,0.0,0.0
0.127,-1537.5172194031404,-1163.390544381861,-153.7670286344518,-640.1341185251289,243.00893216492196,571.8560444654757,0.0,0.0,0.0
0.131,-1511.3981231565049,-1120.807352416221,-133.2340258588401,-638.963796101459,263.5636253424532,570.049498845844,0.0,0.0,0.0
0.136,-1485.5860946654905,-1078.0223007700552,-113.06918780441575,-638.3527432172425,284.4895587604069,568.0996142002813,0.0,0.0,0.0
0.141,-1460.098179286819,-1035.2141918013856,-93.35542370559845,-638.2363228424393,305.6013583552923,565.9819719657359,0.0,0.0,0.0
0.145,-1434.9581985760642,-992.5569624245803,-74.1719972858531,-638.5451566614632,326.71985454109256,563.6726445061103,0.0,0.0,0.0
0.15,-1410.1952518505977,-950.2182293350445,-55.59443328820926,-639.2054275577916,347.6736517831672,561.148686150819,0.0,0.0,0.0
0.155,-1385.8421091008413,-908.35814153289,-37.694410112384354,-640.1393763881584,368.3005463391747,558.3886373401145,0.0,0.0,0.0
0.16,-1361.9335723680895,-867.1285245227895,-20.539592239285906,-641.2660262073863,388.4488005602195,555.3730305823091,0.0,0.0,0.0
0.164,-1338.5048726324294,-826.6722858595191,-4.193380836076189,-642.5021521086692,407.97828843478203,552.0848861766987,0.0,0.0,0.0
0.169,-1315.5901581792155,-787.1230402004735,11.28541293871472,-643.763495605631,426.7615283178495,548.5101851421072,0.0,0.0,0.0
0.174,-1293.2211195857221,-748.6049051959938,25.84294560309889,-644.9661997918238,444.68461321395347,544.6383065904351,0.0,0.0,0.0
0.178,-1271.425786362167,-711.2324184004519,39.4307303249633,-646.0284175923043,461.64803790899384,540.4624171556045,0.0,0.0,0.0
0.183,-1250.2275204842176,-675.1105294472745,52.00599412802347,-646.8720242946638,477.56740991314575,535.9798012588147,0.0,0.0,0.0
0.188,-1229.6442217189751,-640.334629085612,63.53196429517566,-647.4243518098702,492.3740227107581,531.1921228819546,0.0,0.0,0.0
0.192,-1209.6877488279908,-606.9905850798514,73.9780518902319,-647.6198586867791,506.015267904415,526.1056117033105,0.0,0.0,0.0
0.197,-1190.363550441438,-575.1547629542156,83.31990781114213,-647.4016563295575,518.4548659942826,520.7311684082407,0.0,0.0,0.0
0.202,-1171.6704905181696,-544.8940168437655,91.53933582310297,-646.7228244215187,529.6729000021792,515.0843855277076,0.0,0.0,0.0
0.207,-1153.6008462930913,-516.2656427442165,98.62405939452904,-645.5474622889541,539.6656393012067,509.1854815476317,0.0,0.0,0.0
0.211,-1136.1404518774552,-489.3172933817512,104.56735498971646,-643.8514346127565,548.4451429903553,503.0591476682655,0.0,0.0,0.0
0.216,-1119.2689586259153,-464.08686006413336,109.36758181837568,-641.6227797708945,556.0386353162461,496.73430861154554,0.0,0.0,0.0
0.221,-1102.960184312501,-440.60233132674443,113.027653422635,-638.861760051718,562.487652699611,490.24380115277415,0.0,0.0,0.0
0.225,-1087.1825271179619,-418.8816406518086,115.55450605512728,-635.5805479786367,567.846973913419,483.62397644564805,0.0,0.0,0.0
0.23,-1071.8994268283143,-398.9325163713417,116.95862032153904,-631.8025627069462,572.1833601177442,476.9142346925836,0.0,0.0,0.0
0.235,-1057.0698631314074,-380.75234668535586,117.25364637033928,-627.5614923359884,575.574145561091,470.1565033479068,0.0,0.0,0.0
0.239,-1042.648887931217,-364.3280721459606,116.45617113087313,-622.9000571567517,578.1057279291127,463.39467282220465,0.0,0.0,0.0
0.244,-1028.588193914553,-349.6361174526837,114.5856515520471,-617.8685804168537,579.872006376724,456.6740063265724,0.0,0.0,0.0
0.249,-1014.8367241778348,-336.64237423038173,111.66452333255556,-612.5234346431804,580.9728054421649,450.04054248202516,0.0,0.0,0.0
0.254,-1001.3413268462099,-325.302246591546,107.71848204458334,-606.9254240904587,581.5123080600055,443.54050991015504,0.0,0.0,0.0
0.258,-988.0474545101383,-315.56077151953195,102.77692265551397,-601.1381515107222,581.5975063197709,437.21977178679685,0.0,0.0,0.0
0.263,-974.8999024626302,-307.35282632238625,96.87351293032685,-595.2264048577011,581.3366691973346,431.1233154600728,0.0,0.0,0.0
0.268,-961.8435742278725,-300.603435564489,90.04686537083093,-589.2545899952535,580.8378241460497,425.2947984136361,0.0,0.0,0.0
0.272,-948.8242592441746,-295.22818975122266,82.34126173019416,-583.2852300634288,580.2072532225345,419.77615792391475,0.0,0.0,0.0
0.277,-935.789406276234,-291.1337871029938,73.80737479335114,-577.3775505622191,579.5480120949879,414.6072882327969,0.0,0.0,0.0
0.282,-922.6888770205423,-288.2187076327253,64.50292550999305,-571.5861704285376,578.9584894606202,409.8257859460559,0.0,0.0,0.0
0.286,-909.4756671574197,-286.37402564193826,54.49321192937961,-565.9599218311192,578.5310325910774,405.46676138038555,0.0,0.0,0.0
0.291,-896.1065862877894,-285.4843632965141,43.85145172702493,-560.5408234898514,578.3506696692604,401.5627105324394,0.0,0.0,0.0
0.296,-882.5428924728054,-285.428984533079,32.65889204640717,-555.3632331656305,578.493960105221,398.1434393596062,0.0,0.0,0.0
0.301,-868.7508795316284,-286.08302504476706,21.004655421483882,-550.4532043949616,579.028000276353,395.23602943627736,0.0,0.0,0.0
0.305,-854.7024145049868,-287.3188502091091,8.985304522529127,-545.8280703889193,580.0096051545336,392.8648320130698,0.0,0.0,0.0
0.31,-840.3754189945937,-289.0075285633636,-3.2958803836488073,-541.4962735018071,581.4846774583648,391.05147619952237,0.0,0.0,0.0
0.315,-825.7542828575783,-291.0204040303569,-15.729908134901791,-537.4574506335555,583.4877667599194,389.81487654601716,0.0,0.0,0.0
