time,gyroX_mdps_filtered,gyroY_mdps_filtered,gyroZ_mdps_filtered,accX_mg_filtered,accY_mg_filtered,accZ_mg_filtered,magX_mG_filtered,magY_mG_filtered,magZ_mG_filtered
0.0,-2110.0024131086966,-1739.7134051329647,-1281.1561403109988,-843.0069857087739,-682.6583687495445,-707.3245484174428,0.0,0.0,0.0
0.005,-2043.1417922390033,-1758.608609147216,-1288.0697473383586,-829.1205364927955,-681.7159560413642,-691.3956164238801,0.0,0.0,0.0
0.01,-1975.7603663666073,-1777.676892807153,-1294.4385917085142,-815.2208735369709,-680.04991336544,-675.284551217632,0.0,0.0,0.0
0.014,-1908.1986543961314,-1796.7504259233835,-1300.1258165880988,-801.4049247596001,-677.556093380898,-659.0793637041374,0.0,0.0,0.0
0.019,-1840.7931163691906,-1815.6538814725027,-1304.986820136206,-787.7806048438086,-674.1343659890306,-642.8616902332635,0.0,0.0,0.0
0.024,-1773.8718299686352,-1834.2063917509288,-1308.8706841722267,-774.4671646089874,-669.6908436690269,-626.704987672051,0.0,0.0,0.0
0.029,-1707.7503604644469,-1852.2235289476812,-1311.622023032682,-761.5948608998829,-664.1403253865753,-610.6730633321638,0.0,0.0,0.0
0.033,-1642.7278953843152,-1869.5192742679533,-1313.0832810777217,-749.3038638692022,-657.4088981586636,-594.818997257297,0.0,0.0,0.0
0.038,-1579.083716439786,-1885.9079509720161,-1313.097476533445,-737.7423812558451,-649.4365868074078,-579.1844942778262,0.0,0.0,0.0
0.043,-1517.074073450067,-1901.2061113437862,-1311.5113416119805,-727.064048422952,-640.179905577467,-563.799678305391,0.0,0.0,0.0
0.047,-1456.9295067103064,-1915.2343811948056,-1308.1787643529933,-717.4246995145256,-629.6141520863204,-548.6833149233914,0.0,0.0,0.0
0.052,-1398.8526390083866,-1927.8192732288403,-1302.9644143498554,-708.9786879321831,-617.735299361577,-533.8434244385332,0.0,0.0,0.0
0.057,-1343.016432285959,-1938.7949811227281,-1295.7474332922134,-701.8749533694121,-604.5613791955009,-519.2782290762452,0.0,0.0,0.0
0.061,-1289.562883019423,-1948.005161206038,-1286.4250795323494,-696.2530332872182,-590.1332948995713,-504.9773656106433,0.0,0.0,0.0
0.066,-1238.6021198064134,-1955.30470012571,-1274.9162218921172,-692.2391925632562,-574.5150385896775,-490.92328733599135,0.0,0.0,0.0
0.071,-1190.2118683835718,-1960.5614561443747,-1261.1645778958803,-689.9428069417198,-557.7933096915523,-477.0927754471631,0.0,0.0,0.0
0.076,-1144.4372613719322,-1963.657949874098,-1245.141587954815,-689.4530972872705,-540.076539448727,-463.458478984193,0.0,0.0,0.0
0.08,-1101.2909874798067,-1964.4929685852678,-1226.8488148075103,-690.8362829816749,-521.4933291891246,-449.99040505074674,0.0,0.0,0.0
0.085,-1060.7537921392184,-1962.98303806625,-1206.3197615626348,-694.1332083864834,-502.1903167418712,-436.65728799197433,0.0,0.0,0.0
0.09,-1022.775354672287,-1959.0637085310989,-1183.6210140233104,-699.3574941408367,-482.3295001733869,-423.42777798223744,0.0,0.0,0.0
0.094,-987.2755744313665,-1952.6905972028496,-1158.8526326981048,-706.494269157282,-462.08507000888295,-410.2714054055289,0.0,0.0,0.0
0.099,-954.1462996587596,-1943.840130465686,-1132.147745455818,-715.499542364186,-441.63982600868803,-397.15929609900013,0.0,0.0,0.0
0.104,-923.2535278935451,-1932.5099330800867,-1103.67132227261,-726.3002693057915,-421.1812777709174,-384.06463220447444,0.0,0.0,0.0
0.108,-894.4400952023474,-1918.718820870912,-1073.6181477870357,-738.7951537248316,-400.89754714211733,-370.9628722673519,0.0,0.0,0.0
0.113,-867.52885342515,-1902.5063661829404,-1042.2100426750733,-752.8561976041741,-380.9732036795211,-357.831760718654,0.0,0.0,0.0
0.118,-842.3263114136242,-1883.932021489027,-1009.6924169267963,-768.3309778354328,-361.5851718889604,-344.65116958663947,0.0,0.0,0.0
0.122,-818.6266904904834,-1863.0738048312562,-976.330262820098,-785.0455894612747,-342.8988499717389,-331.40282323260425,0.0,0.0,0.0
0.127,-796.2163189289466,-1840.026570262292,-942.4037109148132,-802.8081609572228,-325.06457325412305,-318.0699597155506,0.0,0.0,0.0
0.132,-774.8782674603746,-1814.899906103577,-908.2032798457303,-821.4128216243234,-308.21454067174903,-304.6369803664299,0.0,0.0,0.0
0.136,-754.3971093488566,-1787.815722416576,-874.0249523842306,-840.6439870918708,-292.4603003347941,-291.08913326713315,0.0,0.0,0.0
0.141,-734.5636757320134,-1758.9056051186378,-840.1652076181709,-860.2808248690993,-277.89086249879614,-277.4122680416755,0.0,0.0,0.0
0.146,-715.179670694139,-1728.3080262827993,-806.9161325536794,-880.1017645375482,-264.5714779574992,-263.5926900775745,0.0,0.0,0.0
0.151,-696.0620114170215,-1696.1655074423613,-774.5607261176332,-899.8889237510451,-252.54308905990683,-249.61713275540308,0.0,0.0,0.0
0.155,-677.0467667705259,-1662.6218347679508,-743.3684946296546,-919.4323304351165,-241.82243048618858,-235.47285664633327,0.0,0.0,0.0
0.16,-657.9925824039891,-1627.819421635239,-713.5914206642315,-938.5338328693766,-232.40272877368517,-221.147875152785,0.0,0.0,0.0
0.165,-638.7835006505773,-1591.896905426373,-685.4603679331057,-957.0106022285845,-224.25492495994774,-206.63129728868847,0.0,0.0,0.0
0.17,-619.3311075345786,-1554.9870520435932,-659.1819654956677,-974.698146618,-217.32932548428462,-191.91377094255182,0.0,0.0,0.0
0.174,-599.5759649073561,-1517.2150250448763,-634.9359975745083,-991.4527721762737,-211.55757466579544,-176.98800456590374,0.0,0.0,0.0
0.179,-579.4883116594154,-1478.6970584987982,-612.8733118573707,-1007.1534461306371,-206.8548395834112,-161.84934192973293,0.0,0.0,0.0
0.184,-559.0680426462487,-1439.5395550695252,-593.1142491442879,-1021.7030392484972,-203.12210625326097,-146.496363152461,0.0,0.0,0.0
0.188,-538.3439957782738,-1399.8386140073292,-575.7475889679059,-1035.0289506422646,-200.24850413461178,-130.93148515018135,0.0,0.0,0.0
0.193,-517.3725953022481,-1359.6799777401945,-560.8299976420587,-1047.083144552898,-198.11360109217378,-115.16153553289212,0.0,0.0,0.0
0.198,-496.2359124049517,-1319.139370866187,-548.3859566963308,-1057.8416529857311,-196.58963767252936,-99.19827550703485,0.0,0.0,0.0
