time,gyroX_mdps_filtered,gyroY_mdps_filtered,gyroZ_mdps_filtered,accX_mg_filtered,accY_mg_filtered,accZ_mg_filtered,magX_mG_filtered,magY_mG_filtered,magZ_mG_filtered
0.0,-2333.7133194936678,-2029.6268550536156,-1346.600421704966,-835.3164716425717,-389.2663365010781,-377.43803261278583,0.0,0.0,0.0
0.005,-2277.0142274207287,-2001.0119490377695,-1316.5227018940045,-815.1111454209358,-417.1265252971524,-379.7231324723072,0.0,0.0,0.0
0.01,-2220.110165820396,-1972.449535824959,-1286.7463069607038,-795.7438289123584,-444.1696045156944,-381.4520190837847,0.0,0.0,0.0
0.014,-2163.0872752998225,-1944.0949098839624,-1257.43856046432,-777.3885656221005,-470.0741342971545,-382.54401407570435,0.0,0.0,0.0
0.019,-2106.0306826753363,-1916.083191953495,-1228.7445371225451,-760.2185473001454,-494.535130812229,-382.92084756168026,0.0,0.0,0.0
0.024,-2049.0266932507857,-1888.5257733558165,-1200.7834464108337,-744.4040818232183,-517.2698704570538,-382.5078772555725,0.0,0.0,0.0
0.028,-1992.1644830717805,-1861.5074395328613,-1173.6460300172919,-730.1101541824785,-538.0233686249608,-381.23542162851635,0.0,0.0,0.0
0.033,-1935.537154572017,-1835.084294934566,-1147.3930323330667,-717.4936737039342,-556.5734062667383,-379.0401764054644,0.0,0.0,0.0
0.038,-1879.2420794218783,-1809.282590536932,-1122.0547465314014,-706.7005451426281,-572.7349648597854,-375.8666659969333,0.0,0.0,0.0
0.042,-1823.3805156619676,-1784.098522531326,-1097.631614691567,-697.8627019420154,-586.3639188049945,-371.6686699492725,0.0,0.0,0.0
0.047,-1768.0565486944386,-1759.4990295700302,-1074.0958478259076,-691.0952110173764,-597.3598274904192,-366.41055792659387,0.0,0.0,0.0
0.052,-1713.375463231917,-1735.4235708378724,-1051.3940103408145,-686.4935240751336,-605.6676747760822,-360.0684638055091,0.0,0.0,0.0
0.057,-1659.441700032652,-1711.7868223109913,-1029.4504794349916,-684.1309299334866,-611.278428970642,-352.6312302418533,0.0,0.0,0.0
0.061,-1606.356580936846,-1688.4821873061057,-1008.1716531394318,-684.0562619644548,-614.228344468965,-344.1010606424761,0.0,0.0,0.0
