time,ax,ay,az,wx,wy,wz
2025-10-16T15:36:09.395Z,-2.1945,-3.3125,0.2176,-1.9258,1.8512,-0.9379
2025-10-16T15:36:09.404Z,-1.9649,-3.5934,0.2513,-1.9500,1.9261,-1.0395
2025-10-16T15:36:09.414Z,-1.7309,-3.7755,0.2763,-1.9895,2.0492,-1.1554
2025-10-16T15:36:09.424Z,-1.5668,-3.8811,0.0927,-2.0222,2.1790,-1.2839
2025-10-16T15:36:09.434Z,-1.3555,-3.9489,-0.0559,-2.0616,2.3032,-1.4269
2025-10-16T15:36:09.445Z,-1.2446,-4.0035,-0.2708,-2.1123,2.4523,-1.5783
2025-10-16T15:36:09.453Z,-1.1784,-4.1724,-0.5927,-2.1573,2.6102,-1.7452
2025-10-16T15:36:09.464Z,-1.0803,-4.4879,-0.8504,-2.2025,2.7521,-1.9269
2025-10-16T15:36:09.474Z,-1.1027,-4.9153,-1.0063,-2.2480,2.8869,-2.1087
2025-10-16T15:36:09.484Z,-1.2970,-5.3755,-1.1224,-2.3038,3.0205,-2.2746
2025-10-16T15:36:09.495Z,-1.4854,-5.8248,-1.3061,-2.3727,3.0993,-2.4180
2025-10-16T15:36:09.504Z,-1.7422,-6.1922,-1.4310,-2.4772,3.1326,-2.5364
2025-10-16T15:36:09.514Z,-2.0738,-6.5640,-1.6700,-2.6239,3.1449,-2.6378
2025-10-16T15:36:09.525Z,-2.0738,-6.5640,-1.6700,-2.6239,3.1449,-2.6378
2025-10-16T15:36:09.534Z,-2.5378,-7.8070,-2.0396,-3.0043,2.9643,-2.7249
2025-10-16T15:36:09.544Z,-2.6705,-8.5789,-1.8537,-3.2534,2.7488,-2.6734
2025-10-16T15:36:09.554Z,-2.8346,-9.5260,-1.5384,-3.5039,2.4597,-2.5444
2025-10-16T15:36:09.563Z,-2.9544,-10.7739,-0.9468,-3.8400,2.1537,-2.3977
2025-10-16T15:36:09.574Z,-2.6977,-12.0494,-0.2667,-4.2054,1.9705,-2.2590
2025-10-16T15:36:09.584Z,-2.3807,-12.7396,0.4590,-4.5578,1.9523,-2.1837
2025-10-16T15:36:09.594Z,-1.7416,-12.5244,1.0922,-4.8671,2.0827,-2.2124
2025-10-16T15:36:09.604Z,-0.6856,-11.4699,1.6234,-5.1178,2.3300,-2.3573
2025-10-16T15:36:09.614Z,0.2733,-10.2149,2.3038,-5.3209,2.7067,-2.5615
2025-10-16T15:36:09.624Z,1.0380,-9.4460,3.0742,-5.4680,3.0467,-2.7569
2025-10-16T15:36:09.634Z,1.5146,-9.2414,4.4865,-5.4725,3.3331,-2.9972
2025-10-16T15:36:09.644Z,1.0359,-9.6762,6.5745,-5.3487,3.5341,-3.2441
2025-10-16T15:36:09.654Z,-0.4148,-10.5675,8.4884,-5.1419,3.5724,-3.4251
2025-10-16T15:36:09.664Z,-2.5220,-11.2148,10.8006,-4.8225,3.4767,-3.5468
2025-10-16T15:36:09.674Z,-4.7819,-11.5503,12.9643,-4.4107,3.2666,-3.6215
2025-10-16T15:36:09.683Z,-6.8811,-11.6214,14.5512,-3.9206,3.0794,-3.6424
2025-10-16T15:36:09.694Z,-8.9123,-11.3377,16.0232,-3.3726,2.9049,-3.6290
2025-10-16T15:36:09.704Z,-10.4092,-10.6097,17.3109,-2.7836,2.7674,-3.5795
2025-10-16T15:36:09.714Z,-11.1320,-9.3848,18.2756,-2.1791,2.5403,-3.5093
2025-10-16T15:36:09.724Z,-11.1319,-7.9319,19.0445,-1.5600,2.1946,-3.4035
2025-10-16T15:36:09.734Z,-10.9323,-6.5257,19.3308,-0.9751,1.8156,-3.2704
2025-10-16T15:36:09.744Z,-10.8864,-5.1613,19.1093,-0.4079,1.4523,-3.1383
2025-10-16T15:36:09.754Z,-10.5266,-3.8357,18.9704,0.1414,1.1098,-3.0321
2025-10-16T15:36:09.764Z,-9.8237,-2.6329,18.5697,0.6640,0.8517,-2.9261
2025-10-16T15:36:09.774Z,-9.3203,-1.5646,18.0671,1.1601,0.6380,-2.8142
2025-10-16T15:36:09.784Z,-9.1248,-0.6670,17.6514,1.6385,0.4505,-2.7010
2025-10-16T15:36:09.794Z,-9.0898,-0.0017,17.3490,2.0907,0.2761,-2.5872
2025-10-16T15:36:09.804Z,-9.0464,0.3845,16.9258,2.5225,0.1124,-2.4564
2025-10-16T15:36:09.814Z,-8.8970,0.5572,16.0369,2.9289,-0.0536,-2.3028
2025-10-16T15:36:09.824Z,-8.6935,0.7349,14.8468,3.3094,-0.1787,-2.1301
2025-10-16T15:36:09.834Z,-8.4965,0.9508,13.7298,3.6783,-0.3053,-1.9504
