time,ax,ay,az,wx,wy,wz
2025-10-16T14:55:49.928Z,-1.5880,-5.2173,-4.4163,0.1111,0.0866,0.0706
2025-10-16T14:55:49.937Z,-1.8719,-5.3080,-4.0927,0.0236,0.0627,0.0346
2025-10-16T14:55:49.947Z,-1.9483,-5.6292,-3.6746,-0.0393,0.0174,-0.4782
2025-10-16T14:55:49.958Z,-1.7866,-6.2058,-3.3151,-0.0887,0.3937,0.0460
2025-10-16T14:55:49.968Z,-1.3200,-6.7878,-2.8298,0.0518,-0.0943,-0.1608
2025-10-16T14:55:49.976Z,-0.6346,-7.2104,-1.9685,0.2314,-0.7299,-0.3637
2025-10-16T14:55:49.987Z,-0.0390,-7.5023,-1.0137,0.3098,-1.0483,-0.7733
2025-10-16T14:55:49.998Z,0.4338,-7.9118,-0.0728,0.1099,-1.2956,-0.8406
2025-10-16T14:55:50.008Z,0.7878,-8.7195,0.9118,-0.0983,-0.2832,-0.8903
2025-10-16T14:55:50.018Z,0.8093,-9.8296,1.2281,-0.1360,1.0339,-1.0463
2025-10-16T14:55:50.028Z,0.8228,-10.6957,1.1303,-0.3976,0.7558,-0.8066
2025-10-16T14:55:50.038Z,1.1908,-11.3157,0.9391,-0.9598,2.5847,-0.2150
2025-10-16T14:55:50.049Z,1.8631,-11.8328,0.9138,-1.4356,1.7560,0.5600
2025-10-16T14:55:50.059Z,2.6554,-12.2309,1.0049,-1.8349,0.3125,0.5569
2025-10-16T14:55:50.068Z,3.1646,-12.6874,1.1477,-2.6655,1.3872,0.1174
2025-10-16T14:55:50.078Z,3.3821,-13.4155,1.4221,-3.8708,1.4317,-0.4988
2025-10-16T14:55:50.088Z,3.5736,-14.3859,1.7480,-4.7531,1.4254,-1.2941
2025-10-16T14:55:50.098Z,3.5909,-15.1821,2.0766,-5.4013,2.8141,-2.1917
2025-10-16T14:55:50.109Z,3.4073,-15.7492,2.2101,-5.6971,3.1891,-3.1640
2025-10-16T14:55:50.118Z,3.2651,-16.2577,1.9091,-5.7801,2.9439,-3.9651
2025-10-16T14:55:50.128Z,3.2295,-16.5557,1.6199,-5.9362,2.5472,-4.1279
2025-10-16T14:55:50.139Z,3.2583,-16.7047,1.6844,-6.0187,2.4505,-4.1792
2025-10-16T14:55:50.148Z,3.4818,-16.8592,2.0863,-6.0660,2.4048,-4.2683
2025-10-16T14:55:50.159Z,4.0308,-17.0065,2.8467,-6.0609,2.2421,-4.4388
2025-10-16T14:55:50.166Z,4.7398,-17.0605,4.1151,-6.0609,2.2421,-4.4388
2025-10-16T14:55:50.179Z,5.0028,-17.2032,5.7602,-5.8836,1.8098,-4.9483
2025-10-16T14:55:50.188Z,4.8136,-17.7506,7.8080,-5.6573,1.4903,-5.1947
2025-10-16T14:55:50.198Z,4.5942,-18.1550,9.8038,-5.3365,1.2637,-5.3704
2025-10-16T14:55:50.209Z,4.1216,-17.8116,12.1262,-4.9477,1.1988,-5.4957
2025-10-16T14:55:50.218Z,4.2442,-16.9142,14.3484,-4.5239,1.3247,-5.6036
2025-10-16T14:55:50.229Z,5.0412,-15.7151,16.1447,-4.0814,1.6860,-5.7435
2025-10-16T14:55:50.239Z,5.7987,-14.9455,17.2584,-3.6469,2.1389,-5.8725
2025-10-16T14:55:50.254Z,5.9875,-14.9455,17.6162,-3.2258,2.5057,-5.9492
2025-10-16T14:55:50.259Z,5.4402,-15.5160,17.6239,-2.7857,2.7566,-5.9490
2025-10-16T14:55:50.269Z,4.2376,-16.3701,18.0734,-2.2375,3.0075,-5.8499
2025-10-16T14:55:50.279Z,2.8716,-17.3161,19.4491,-1.6038,3.3901,-5.6613
2025-10-16T14:55:50.289Z,1.5266,-18.3062,20.8266,-0.9172,4.1438,-5.3973
2025-10-16T14:55:50.299Z,-0.3094,-19.0664,21.8294,-0.1165,5.2364,-5.0302
2025-10-16T14:55:50.309Z,-2.7121,-19.4356,22.6969,0.7876,6.0617,-4.6125
2025-10-16T14:55:50.316Z,-5.2030,-19.4893,22.5932,0.7876,6.0617,-4.6125
2025-10-16T14:55:50.326Z,-7.6751,-19.5920,20.7077,1.6873,6.5071,-4.1966
2025-10-16T14:55:50.339Z,-10.2475,-19.6226,17.7976,3.1018,6.5737,-3.0377
2025-10-16T14:55:50.350Z,-12.7627,-19.5622,14.3767,3.5844,6.4939,-2.1170
2025-10-16T14:55:50.357Z,-14.9910,-19.4544,11.7689,3.5844,6.4939,-2.1170
2025-10-16T14:55:50.369Z,-16.5739,-19.1302,10.0798,4.3623,6.2007,-0.0806
