time,ax,ay,az,wx,wy,wz
2025-10-16T14:52:40.035Z,-0.0330,-0.5840,0.9726,-0.0853,-0.0016,-0.3211
2025-10-16T14:52:40.038Z,-0.0330,-0.5840,0.9726,-0.0714,-0.0160,-0.2075
2025-10-16T14:52:40.047Z,0.6411,-0.6518,1.1172,-0.0417,0.0098,-0.1530
2025-10-16T14:52:40.058Z,1.3260,-0.4659,0.9402,-0.0331,0.0983,-0.1716
2025-10-16T14:52:40.067Z,1.8409,-0.4226,0.9107,-0.0318,0.2083,-0.1704
2025-10-16T14:52:40.077Z,2.1689,-0.4585,1.0729,-0.0286,0.3384,-0.1666
2025-10-16T14:52:40.087Z,2.3312,-0.4767,1.1189,-0.0337,0.4443,-0.1702
2025-10-16T14:52:40.097Z,2.5432,-0.4679,1.2069,-0.0234,0.5023,-0.1931
2025-10-16T14:52:40.107Z,2.8401,-0.4722,1.4828,-0.0004,0.5162,-0.2344
2025-10-16T14:52:40.117Z,2.9855,-0.5219,1.7782,0.0118,0.5079,-0.2707
2025-10-16T14:52:40.128Z,2.8753,-0.6099,1.8147,0.0247,0.4265,-0.2978
2025-10-16T14:52:40.137Z,2.7810,-0.5979,1.9163,0.0411,0.2827,-0.3194
2025-10-16T14:52:40.147Z,2.6464,-0.4883,1.9869,0.0319,0.1287,-0.3344
2025-10-16T14:52:40.157Z,2.4566,-0.3123,1.8149,0.0173,-0.0028,-0.3523
2025-10-16T14:52:40.167Z,2.5545,-0.0160,1.6735,-0.0061,-0.0707,-0.3687
2025-10-16T14:52:40.177Z,2.8610,0.2340,1.5085,-0.0259,-0.0904,-0.3877
2025-10-16T14:52:40.187Z,3.1791,0.3828,1.3235,-0.0297,-0.1113,-0.4114
2025-10-16T14:52:40.197Z,3.3547,0.4981,1.3740,-0.0436,-0.0900,-0.4511
2025-10-16T14:52:40.207Z,3.2800,0.6319,1.4247,-0.0519,-0.0760,-0.4793
2025-10-16T14:52:40.217Z,3.1510,0.7789,1.5900,-0.0559,-0.0628,-0.4919
2025-10-16T14:52:40.227Z,3.0110,0.9561,1.9405,-0.0590,0.0044,-0.4953
2025-10-16T14:52:40.237Z,2.9263,1.2584,2.4352,-0.0549,0.1127,-0.5087
2025-10-16T14:52:40.247Z,3.0866,1.7139,3.0569,-0.0761,0.2912,-0.5472
2025-10-16T14:52:40.257Z,3.3348,2.2656,3.4029,-0.0664,0.5038,-0.6176
2025-10-16T14:52:40.267Z,3.5928,2.9179,3.9603,-0.0103,0.7111,-0.7220
