time,gyroX_mdps_filtered,gyroY_mdps_filtered,gyroZ_mdps_filtered,accX_mg_filtered,accY_mg_filtered,accZ_mg_filtered,magX_mG_filtered,magY_mG_filtered,magZ_mG_filtered
0.0,-339.63532471447695,307.03622624835873,-272.16918186605574,-1388.6052895501255,490.6068919536908,-422.60306502975453,0.0,0.0,0.0
0.004,-306.2813831854536,269.870472266363,-278.7658599400447,-1357.8331299893928,477.88007155728724,-414.1432851858009,0.0,0.0,0.0
0.009,-272.4924746050813,233.21842212990302,-284.92550230122004,-1327.4350330880084,464.4852631758806,-405.6557066872564,0.0,0.0,0.0
0.014,-238.56492000490036,197.42351043101468,-290.5506651920662,-1297.7562148838717,450.68637679652204,-397.18080470817347,0.0,0.0,0.0
0.018,-204.7834974516823,162.81457325079194,-295.549976278078,-1269.1245504224294,436.75059130306613,-388.75483143968773,0.0,0.0,0.0
0.023,-171.4154257856563,129.69954021307325,-299.8400887600936,-1241.8433153443607,422.9421766647903,-380.40906489700353,0.0,0.0,0.0
0.028,-138.70527558777158,98.35970990925242,-303.34770349113893,-1216.1846538632983,409.5169225190824,-372.16922121596286,0.0,0.0,0.0
0.032,-106.87100423963204,69.04477051871048,-306.0115929489484,-1192.3839662469986,396.7173686887624,-364.055049909305,0.0,0.0,0.0
0.037,-76.10125958189356,41.968700123602595,-307.7845347036957,-1170.6353816189362,384.76896924584946,-356.08012554923977,0.0,0.0,0.0
0.042,-46.5540286345737,17.306647512138046,-308.6350472595782,-1151.0884478688583,373.87724726440905,-348.2518437149321,0.0,0.0,0.0
0.047,-18.35662879178791,-4.8071436549369455,-308.548818306521,-1133.8461279328487,364.22591839538654,-340.5716236938342,0.0,0.0,0.0
0.051,8.39304234014682,-24.280343886210602,-307.5297257356753,-1118.9641390272254,355.9758849910754,-333.03531488280987,0.0,0.0,0.0
0.056,33.624156270609774,-41.06249540901952,-305.60037314067944,-1106.4516092638808,349.26493754613597,-325.6337974710106,0.0,0.0,0.0
0.061,57.28971959193741,-55.14396971851607,-302.802088700498,-1096.272960346142,344.20795696372795,-318.35376052520377,0.0,0.0,0.0
0.065,79.36271552026258,-66.55400861182412,-299.1943648393388,-1088.3508652471974,340.89739768318105,-311.1786324701892,0.0,0.0,0.0
0.07,99.83190165234076,-75.35795864486406,-294.85374285226357,-1082.5700842795854,339.4038495494753,-304.08963121826883,0.0,0.0,0.0
0.075,118.69754667819267,-81.65382911796202,-289.87216806624014,-1078.7819562100553,339.77651946837,-297.0668950830997,0.0,0.0,0.0
0.079,135.96737319342114,-85.56831741007554,-284.3548542109918,-1076.8093138675597,342.0435317081658,-290.0906520012791,0.0,0.0,0.0
0.084,151.6529436909814,-87.2524529510961,-278.41770298555826,-1076.4516049818737,346.21200729572206,-283.1423837199007,0.0,0.0,0.0
0.089,165.76668524596937,-86.87701277174637,-272.1843343144973,-1077.490026706103,352.2679403013474,-276.20594309959927,0.0,0.0,0.0
0.094,178.31969723801592,-84.62785783981997,-265.7828013507283,-1079.6925221833828,360.17593684521313,-269.2685857882592,0.0,0.0,0.0
0.098,189.32042773184997,-80.70133062538487,-259.3420897683348,-1082.8185322633483,369.878917795271,-262.32188149032186,0.0,0.0,0.0
0.103,198.77424148565456,-75.29984099375034,-252.988521656004,-1086.6234361497993,381.2979055557864,-255.3624743551991,0.0,0.0,0.0
0.108,206.68384086800273,-68.62775043972383,-246.8421890580359,-1090.8626443664252,394.33201783394736,-248.39266640959735,0.0,0.0,0.0
0.112,213.0504451322523,-60.88764500856689,-241.01353058763965,-1095.295324017298,408.8587786669688,-241.42080255121326,0.0,0.0,0.0
0.117,217.8755876553841,-52.277066188763186,-235.6001463617753,-1099.6877433946206,424.7348342814206,-234.46144068878405,0.0,0.0,0.0
0.122,221.1633577363149,-42.98574756676637,-230.68393150694703,-1103.816226381542,441.79713417267715,-227.5352963988671,0.0,0.0,0.0
0.126,222.92289433280393,-33.193383707477985,-226.3285992970005,-1107.46971124423,459.8646097347028,-220.66895800440287,0.0,0.0,0.0
0.131,223.1709329746346,-23.067936944170196,-222.57765863358895,-1110.4519149825944,478.7403550915284,-213.89437511384713,0.0,0.0,0.0
0.136,221.9342127953625,-12.764468041784278,-219.45290364141192,-1112.583112969463,498.2142878479023,-207.24813117273652,0.0,0.0,0.0
0.141,219.25156728896067,-2.4244589345027294,-216.9534648389618,-1113.7015526448579,518.0662421190395,-200.7705182413368,0.0,0.0,0.0
0.145,215.17554892805964,7.824418990309405,-215.05546257996153,-1113.6645279323986,538.06942375619,-194.50443983775273,0.0,0.0,0.0
0.15,209.77347188797862,17.868148491709718,-213.71229388314353,-1112.3491467445588,557.994139094098,-188.49417514712803,0.0,0.0,0.0
0.155,203.12779543769037,27.605886267671192,-212.85557096686148,-1109.652826925178,577.6116943754932,-182.78404490038866,0.0,0.0,0.0
0.159,195.33580974765044,36.94922655646133,-212.39671203849173,-1105.4935559367727,596.6983544106022,-177.4170250803686,0.0,0.0,0.0
0.164,186.50862347724166,45.82127679068506,-212.22916351358393,-1099.8099465687776,615.0392472668851,-172.43335846487972,0.0,0.0,0.0
0.169,176.7694870579766,54.15561238993496,-212.23121112250013,-1092.561115609346,632.4321065105188,-167.86921536247382,0.0,0.0,0.0
0.173,166.2515162633197,61.8951753389177,-212.2693174463011,-1083.7264058178762,648.6907514562905,-163.75545379496606,0.0,0.0,0.0
0.178,155.09490699696894,68.991177555415,-212.20190510120426,-1073.3049644512248,663.6482161913233,-160.11652625130446,0.0,0.0,0.0
0.183,143.4437538372296,75.40206503839622,-211.88348676865238,-1061.3151845834357,677.1594479141385,-156.96957544755136,0.0,0.0,0.0
0.188,131.44260128529004,81.0925921714974,-211.1690250368181,-1047.7940092512101,689.1035041438743,-154.32375557256512,0.0,0.0,0.0
0.192,119.23286775783401,86.03304723107827,-209.9183877725417,-1032.7960942326172,699.3851879983051,-152.179808343096,0.0,0.0,0.0
0.197,106.94928862898107,90.19866028361005,-208.00075118194644,-1016.3928243668453,707.9360732080405,-150.52991474808246,0.0,0.0,0.0
0.202,94.71652644791088,93.56921372784291,-205.29879607794484,-998.6711814899633,714.7148874872968,-149.3578335433049,0.0,0.0,0.0
0.206,82.64609330690386,96.12886433486639,-201.71254531000605,-979.7324688044314,719.7072442962872,-148.6393264490068,0.0,0.0,0.0
0.211,70.83372130973567,97.86617423292694,-197.1627015880055,-959.6909051527451,722.9247369279204,-148.34285798072577,0.0,0.0,0.0
0.216,59.357302053337825,98.774337115241,-191.59336293010958,-938.6721110045225,724.4034320961289,-148.43054554450396,0.0,0.0,0.0
