time,gyroX_mdps_filtered,gyroY_mdps_filtered,gyroZ_mdps_filtered,accX_mg_filtered,accY_mg_filtered,accZ_mg_filtered,magX_mG_filtered,magY_mG_filtered,magZ_mG_filtered
0.0,309.53529292239625,-168.29269905498907,93.24906025102582,-535.4089377065658,417.191518519647,-233.13896241096174,0.0,0.0,0.0
0.005,270.9282122400512,-160.9843635570065,96.9650919328598,-530.6033932668298,417.6662101822554,-223.49436409864975,0.0,0.0,0.0
0.01,232.87935660119913,-154.1221441236308,100.05471106526606,-525.735856059299,419.00488035935103,-213.91504019846747,0.0,0.0,0.0
0.014,195.74963102654212,-147.72677943070224,102.43614645496982,-520.9117327673749,420.995957883191,-204.51219171333284,0.0,0.0,0.0
0.019,159.88039241814218,-141.81517209428577,104.03619353262303,-516.239908908512,423.4306209606653,-195.39089901975106,0.0,0.0,0.0
0.024,125.58656855239116,-136.40071762259348,104.79212001664158,-511.8304279614353,426.1089848478958,-186.6475181599871,0.0,0.0,0.0
0.028,93.15039071291699,-131.49347101763962,104.65338716314824,-507.79223809831336,428.84541881441146,-178.36737261457364,0.0,0.0,0.0
0.033,62.81591276071442,-127.100124298919,103.5831321132761,-504.2310645998813,431.47277522794366,-170.62281757113635,0.0,0.0,0.0
0.038,34.78447944365364,-123.22379282585531,101.5593656004462,-501.24744483197804,433.8453732103282,-163.47173779934093,0.0,0.0,0.0
0.043,9.211290300199485,-119.86363346705127,98.57584795978033,-498.9349416036199,435.84065226875595,-156.9565207361204,0.0,0.0,0.0
0.047,-13.79681984845691,-117.01434109821051,94.64261303152365,-497.37853189835846,437.35949424322047,-151.1035241961091,0.0,0.0,0.0
0.052,-34.182299456203864,-114.66558919385342,89.78611410946463,-496.6531532292951,438.3252988120682,-145.92303485015816,0.0,0.0,0.0
0.057,-51.93646156151528,-112.8014930847441,84.04897046590908,-496.8223810269794,438.6819808555692,-141.4096912715608,0.0,0.0,0.0
0.061,-67.09774842231076,-111.40017886921618,77.48929960304916,-497.93720937193586,438.39112901407435,-137.54332597042898,0.0,0.0,0.0
0.066,-79.7487609881364,-110.43353590486532,70.17963058327197,-500.0349154517726,437.42861647066684,-134.29016609758622,0.0,0.0,0.0
0.071,-90.01219362891364,-109.8672164415657,62.20540767060396,-503.13800533992224,435.7809814607227,-131.6043234319658,0.0,0.0,0.0
0.075,-98.04586471667436,-109.66092389448617,53.66311063149857,-507.25326281539265,433.44189227363404,-129.42950112005434,0.0,0.0,0.0
0.08,-104.03706884042016,-109.76900423380587,44.65803758953046,-512.3709497058647,430.40897832561126,-127.70084690214878,0.0,0.0,0.0
0.094,-108.1964921181702,-110.14132627485405,35.301816696303824,-518.4642303370441,426.6812479629517,-126.34688908976483,0.0,0.0,0.0
0.099,-110.75192689735836,-110.72440975816501,25.70973158790406,-525.488908766499,422.2572329201619,-125.29150068807373,0.0,0.0,0.0
0.104,-111.94199891017436,-111.46273857879079,15.99795977851068,-533.3835709840683,417.1339117821943,-124.45584679459228,0.0,0.0,0.0
