time,gyroX_mdps_filtered,gyroY_mdps_filtered,gyroZ_mdps_filtered,accX_mg_filtered,accY_mg_filtered,accZ_mg_filtered,magX_mG_filtered,magY_mG_filtered,magZ_mG_filtered
0.0,-268.00542575279457,72.35017891808448,147.1141258106102,-1381.1470137310796,540.3172945955506,-342.8104550152204,0.0,0.0,0.0
0.004,-252.60883461500472,54.36246100658208,147.3950677643666,-1356.040684144474,511.84987627835017,-346.1094427378425,0.0,0.0,0.0
0.009,-236.86055467730145,36.824773670352855,147.43859808662992,-1331.2509162031922,484.0695416736365,-349.1639481380429,0.0,0.0,0.0
0.014,-220.76236638487302,19.860945259875642,147.25339973156207,-1306.9250063270874,457.2428035241583,-351.907407996571,0.0,0.0,0.0
0.018,-204.3197872241583,3.5861327302308244,146.85070455039303,-1283.1946138836518,431.6287339284562,-354.2781260860802,0.0,0.0,0.0
0.023,-187.5433796928143,-11.895194432189271,146.24397435934185,-1260.173019182455,407.4745031641342,-356.2208261147769,0.0,0.0,0.0
0.028,-170.4499457006568,-26.491143492176327,145.44857801383827,-1237.9528263479538,385.01114089587526,-357.68801076665113,0.0,0.0,0.0
0.032,-153.0635617256001,-40.12411458924351,144.4814849955039,-1216.6041898828657,364.4496090719415,-358.6410767094472,0.0,0.0,0.0
0.037,-135.41641937794287,-52.73229209023276,143.36099425818955,-1196.1736363702523,345.977255090465,-359.0511450738359,0.0,0.0,0.0
0.042,-117.5494450937485,-64.27085793355762,142.10650811688026,-1176.6835397173104,329.7546953377164,-358.8995788390629,0.0,0.0,0.0
0.047,-99.51268045201344,-74.71287632732792,140.7383469717268,-1158.1322892969624,315.91316550165504,-358.17817205237867,0.0,0.0,0.0
0.051,-81.36541169003401,-84.04980548044233,139.27758617809414,-1140.4951660174181,304.55236606600755,-356.88900987125186,0.0,0.0,0.0
0.056,-63.17604416020104,-92.29160097762804,137.74588613483942,-1123.7259133387763,295.7388279167559,-355.04401195821225,0.0,0.0,0.0
0.061,-45.021725218139494,-99.46638591253851,136.16528346878087,-1107.7589605945218,289.5048214893324,-352.664183814764,0.0,0.0,0.0
0.065,-26.987727169502197,-105.61967440279096,134.55791501344876,-1092.5122266575538,285.8478308194563,-349.7786106525012,0.0,0.0,0.0
0.07,-9.16660951501487,-110.81314762649352,132.94565494281557,-1077.8904047085648,284.73060966998986,-346.4232363559166,0.0,0.0,0.0
0.075,8.342814431809737,-115.12299533235876,131.34965636763374,-1063.788605041276,286.0818297492023,-342.63947630235464,0.0,0.0,0.0
0.079,25.436678412312766,-118.63785089030327,129.7898004739018,-1050.0962137737502,289.79732007947683,-338.4727174554107,0.0,0.0,0.0
0.084,42.00740341493776,-121.4563636261897,128.284068415318,-1036.700812274051,295.74188138446976,-333.9707621805024,0.0,0.0,0.0
0.089,57.945151396594234,-123.68446707002713,126.84786268906288,-1023.4919961301158,303.75164126997316,-329.18227355346596,0.0,0.0,0.0
0.094,73.139369970042,-125.43241450627029,125.49331297330627,-1010.3649343032661,313.63689861190073,-324.15527946119124,0.0,0.0,0.0
0.098,87.48040808364848,-126.81166315958387,124.22860295381352,-997.2235191598796,325.18539338236917,-318.93579032752376,0.0,0.0,0.0
0.103,100.86118427635252,-127.93169563821002,123.05734832934365,-983.9829771296995,338.16593356108564,-313.566580582839,0.0,0.0,0.0
0.108,113.1788902099328,-128.89687243024215,121.97804535469928,-970.5718388313003,352.33231226868537,-308.0861769414796,0.0,0.0,0.0
