time,ax,ay,az,wx,wy,wz
2025-10-16T14:56:45.006Z,0.4340,-0.1262,0.4439,0.0204,0.3157,-0.2397
2025-10-16T14:56:45.013Z,0.2354,-0.0308,0.4471,0.0344,0.3222,-0.1907
2025-10-16T14:56:45.018Z,0.2354,-0.0308,0.4471,0.0468,0.2107,-0.2518
2025-10-16T14:56:45.028Z,0.3389,-0.1865,0.5789,0.0774,0.0205,-0.4122
2025-10-16T14:56:45.038Z,0.6258,-0.4099,0.8113,0.1421,-0.3046,-0.5444
2025-10-16T14:56:45.048Z,0.7220,-0.8132,1.0306,0.1593,-0.4664,-0.4323
2025-10-16T14:56:45.058Z,0.1861,-1.2034,0.9543,0.1689,-0.3861,-0.3141
2025-10-16T14:56:45.068Z,0.3529,-0.5328,0.8185,0.1558,-0.3035,-0.2478
2025-10-16T14:56:45.077Z,0.8137,0.4857,0.5865,0.1441,-0.2388,-0.2105
2025-10-16T14:56:45.088Z,0.9738,0.7402,0.5217,0.1261,-0.2146,-0.2172
2025-10-16T14:56:45.098Z,1.2271,0.2024,0.4702,0.1045,-0.2207,-0.2334
2025-10-16T14:56:45.108Z,1.3935,-0.2232,0.5103,0.0824,-0.2278,-0.2317
2025-10-16T14:56:45.119Z,1.4623,-0.0887,0.6417,0.0580,-0.2597,-0.2421
2025-10-16T14:56:45.128Z,1.5356,0.2827,0.6663,0.0373,-0.2889,-0.2585
2025-10-16T14:56:45.138Z,1.5097,0.4840,0.6522,0.0148,-0.3594,-0.2681
2025-10-16T14:56:45.148Z,1.4028,0.4968,0.5395,-0.0034,-0.4759,-0.2649
2025-10-16T14:56:45.158Z,1.2254,0.5022,0.4142,-0.0228,-0.5849,-0.2655
2025-10-16T14:56:45.168Z,1.0226,0.6095,0.3218,-0.0414,-0.6958,-0.2604
2025-10-16T14:56:45.178Z,0.8799,0.7822,0.2842,-0.0488,-0.7881,-0.2682
2025-10-16T14:56:45.188Z,0.7547,0.8527,0.2206,-0.0589,-0.8783,-0.2780
2025-10-16T14:56:45.198Z,0.7259,0.7743,0.2040,-0.0798,-0.9484,-0.2864
2025-10-16T14:56:45.208Z,0.8186,0.6632,0.2461,-0.1033,-0.9964,-0.3160
2025-10-16T14:56:45.219Z,1.1610,0.6129,0.3783,-0.1291,-0.9910,-0.3568
2025-10-16T14:56:45.228Z,1.6574,0.6592,0.6683,-0.1690,-0.9291,-0.3948
2025-10-16T14:56:45.238Z,2.1837,0.7916,0.9646,-0.1972,-0.8351,-0.4316
2025-10-16T14:56:45.248Z,2.7008,1.1316,1.4045,-0.2227,-0.6829,-0.4594
2025-10-16T14:56:45.258Z,3.4274,1.5354,1.9538,-0.2272,-0.4400,-0.5020
2025-10-16T14:56:45.269Z,4.5231,1.9026,2.4334,-0.1938,-0.2333,-0.5861
2025-10-16T14:56:45.278Z,5.7600,2.3006,2.9919,-0.1195,-0.1272,-0.7418
2025-10-16T14:56:45.288Z,6.4491,2.6714,3.2580,-0.0590,-0.0689,-0.9398
2025-10-16T14:56:45.298Z,6.1268,2.9348,2.9976,0.0278,-0.1448,-1.1305
2025-10-16T14:56:45.308Z,5.5322,2.9939,2.8627,0.1295,-0.3246,-1.3222
2025-10-16T14:56:45.319Z,5.3006,2.8418,2.7753,0.2159,-0.4312,-1.5363
2025-10-16T14:56:45.328Z,5.3665,2.6114,2.6311,0.2860,-0.4107,-1.7824
2025-10-16T14:56:45.337Z,5.7139,2.4311,2.3877,0.3284,-0.1648,-2.0424
2025-10-16T14:56:45.348Z,6.0329,2.2584,1.9823,0.3602,0.2644,-2.3108
2025-10-16T14:56:45.358Z,6.2695,1.9623,1.6728,0.3868,0.7735,-2.5766
2025-10-16T14:56:45.369Z,6.2940,1.3844,1.3962,0.4058,1.3759,-2.8115
2025-10-16T14:56:45.378Z,5.7200,0.5054,1.0464,0.4017,2.0892,-2.9748
