time,ax,ay,az,wx,wy,wz
2025-10-16T14:51:07.615Z,1.1981,0.5227,1.3631,-0.0285,-0.1695,-0.1879
2025-10-16T14:51:07.622Z,1.1986,-0.0782,1.2150,0.0509,0.0959,-0.1293
2025-10-16T14:51:07.626Z,1.1986,-0.0782,1.2150,0.0509,0.0959,-0.1293
2025-10-16T14:51:07.639Z,1.0814,-0.1573,1.1762,0.1151,0.1956,-0.1368
2025-10-16T14:51:07.648Z,1.0425,0.0607,1.2300,0.1263,0.1969,-0.1342
2025-10-16T14:51:07.658Z,1.0425,0.0607,1.2300,0.1306,0.1722,-0.1477
2025-10-16T14:51:07.669Z,1.1753,0.1420,1.2349,0.1376,0.1205,-0.1667
2025-10-16T14:51:07.679Z,1.1345,0.0374,1.1465,0.1472,0.0212,-0.1743
2025-10-16T14:51:07.686Z,1.1345,0.0374,1.1465,0.1472,0.0212,-0.1743
2025-10-16T14:51:07.699Z,1.7114,0.0875,1.0630,0.1500,-0.1559,-0.2082
2025-10-16T14:51:07.708Z,1.7114,0.0875,1.0630,0.1485,-0.1227,-0.2479
2025-10-16T14:51:07.719Z,2.4056,0.3756,0.9143,0.1402,-0.0539,-0.2719
2025-10-16T14:51:07.729Z,2.5282,0.4023,0.8569,0.1308,0.0271,-0.2980
2025-10-16T14:51:07.738Z,2.5282,0.4023,0.8569,0.1204,0.1303,-0.3303
2025-10-16T14:51:07.749Z,2.9101,0.3435,0.8407,0.1174,0.2148,-0.3696
2025-10-16T14:51:07.756Z,2.9101,0.3435,0.8407,0.1174,0.2148,-0.3696
2025-10-16T14:51:07.769Z,2.4337,0.2018,0.7353,0.1094,0.2840,-0.4262
2025-10-16T14:51:07.779Z,1.9480,0.2036,0.8009,0.0969,0.2266,-0.4435
2025-10-16T14:51:07.788Z,1.9480,0.2036,0.8009,0.0801,0.1511,-0.4702
2025-10-16T14:51:07.799Z,1.7111,0.0966,0.5770,0.0547,0.1550,-0.4885
2025-10-16T14:51:07.808Z,1.7111,0.0966,0.5770,0.0301,0.2885,-0.4947
2025-10-16T14:51:07.819Z,2.2797,0.1693,0.9572,0.0186,0.5530,-0.4994
2025-10-16T14:51:07.830Z,2.7212,0.0676,1.1150,0.0095,0.8860,-0.5008
2025-10-16T14:51:07.838Z,2.7212,0.0676,1.1150,0.0273,1.1797,-0.5285
2025-10-16T14:51:07.849Z,3.1275,-0.1984,1.6515,0.0686,1.3555,-0.5812
2025-10-16T14:51:07.858Z,3.1275,-0.1984,1.6515,0.1234,1.4719,-0.6335
2025-10-16T14:51:07.869Z,2.1618,0.0623,1.7115,0.2040,1.3313,-0.6892
2025-10-16T14:51:07.879Z,1.0370,0.2872,1.4127,0.2350,1.1294,-0.7572
2025-10-16T14:51:07.887Z,1.0370,0.2872,1.4127,0.2350,1.1294,-0.7572
2025-10-16T14:51:07.899Z,-0.0774,0.7288,1.0069,0.3016,0.5578,-0.8585
