time,ax,ay,az,wx,wy,wz
2025-10-17T18:00:52.298Z,1.0900,-0.1815,-0.1924,0.1171,-0.5990,-0.4046
2025-10-17T18:00:52.310Z,0.8643,-1.3168,-0.2039,0.0939,-0.5698,-0.2092
2025-10-17T18:00:52.320Z,0.6399,-0.7276,-0.2670,0.0445,-0.3937,-0.1970
2025-10-17T18:00:52.330Z,1.0627,0.4478,0.1539,0.0163,-0.1459,-0.3472
2025-10-17T18:00:52.340Z,2.2453,0.3149,0.1747,0.0103,0.0141,-0.4835
2025-10-17T18:00:52.350Z,2.7434,-0.3376,0.2995,-0.0070,0.1052,-0.5217
2025-10-17T18:00:52.360Z,2.2460,-0.5299,0.2415,-0.0251,0.1739,-0.5257
2025-10-17T18:00:52.369Z,1.8780,-0.3558,0.0162,-0.0218,0.2133,-0.5574
2025-10-17T18:00:52.380Z,2.0047,-0.1096,-0.0542,-0.0206,0.2714,-0.6203
2025-10-17T18:00:52.390Z,2.3165,0.0307,-0.2059,-0.0323,0.2974,-0.7014
2025-10-17T18:00:52.400Z,2.5002,0.1645,-0.3974,-0.0618,0.2979,-0.7670
2025-10-17T18:00:52.409Z,2.4488,0.3675,-0.4771,-0.1321,0.2566,-0.8157
2025-10-17T18:00:52.419Z,2.4197,0.5830,-0.6070,-0.2138,0.1753,-0.8394
2025-10-17T18:00:52.430Z,2.3959,0.8097,-0.6273,-0.3579,0.0524,-0.8287
2025-10-17T18:00:52.440Z,2.3850,1.0206,-0.5503,-0.5145,-0.0556,-0.8022
2025-10-17T18:00:52.450Z,2.4556,1.3017,-0.4476,-0.6632,-0.1473,-0.7792
2025-10-17T18:00:52.459Z,2.5556,1.7032,-0.2287,-0.7472,-0.2137,-0.7981
2025-10-17T18:00:52.469Z,2.5080,2.0776,0.1006,-0.7738,-0.3396,-0.8568
2025-10-17T18:00:52.480Z,2.4167,2.2314,0.5235,-0.7966,-0.5685,-0.9568
2025-10-17T18:00:52.490Z,2.4143,2.1335,0.8320,-0.8411,-0.7982,-1.0478
2025-10-17T18:00:52.500Z,2.5876,1.9743,0.9259,-0.9353,-0.8683,-1.1007
2025-10-17T18:00:52.510Z,2.8607,1.8596,0.9419,-1.0578,-0.7092,-1.1376
2025-10-17T18:00:52.520Z,3.3919,1.8265,1.1831,-1.1583,-0.4452,-1.1937
2025-10-17T18:00:52.530Z,4.2261,1.7541,1.7771,-1.2292,-0.0575,-1.2813
2025-10-17T18:00:52.543Z,4.6538,1.0203,1.9638,-1.2551,0.4222,-1.3742
2025-10-17T18:00:52.549Z,4.6538,1.0203,1.9638,-1.2077,0.5519,-1.4918
2025-10-17T18:00:52.560Z,4.2287,0.5462,2.5664,-1.1077,0.4561,-1.6482
2025-10-17T18:00:52.570Z,3.0281,-0.1006,2.8428,-1.0251,0.1972,-1.8023
2025-10-17T18:00:52.580Z,1.0650,-0.8655,2.3775,-0.9352,-0.0793,-1.9597
2025-10-17T18:00:52.592Z,0.3181,-1.2268,2.4399,-0.9002,-0.1417,-2.1086
2025-10-17T18:00:52.599Z,0.7479,-1.5132,2.7636,-0.9059,0.1380,-2.1780
2025-10-17T18:00:52.610Z,1.5139,-1.7008,3.0111,-0.9331,0.7318,-2.1487
2025-10-17T18:00:52.620Z,1.9728,-1.7881,2.9413,-0.9467,1.6436,-2.0920
2025-10-17T18:00:52.629Z,2.4003,-1.9867,2.7400,-0.8894,2.6586,-2.0496
2025-10-17T18:00:52.642Z,2.9060,-2.3299,2.8440,-0.6518,3.1139,-2.0370
2025-10-17T18:00:52.649Z,2.8846,-2.8442,3.2782,-0.3550,3.2974,-2.0161
2025-10-17T18:00:52.659Z,0.7070,-3.7228,2.8256,-0.0579,3.1330,-2.0213
2025-10-17T18:00:52.670Z,-1.9556,-4.4743,1.9966,0.2202,2.8492,-2.0825
2025-10-17T18:00:52.680Z,-2.7728,-4.7138,1.4394,0.4707,2.6078,-2.1178
2025-10-17T18:00:52.692Z,-2.9873,-4.5804,1.2228,0.6307,2.5778,-2.0608
2025-10-17T18:00:52.699Z,-3.0660,-4.1235,1.0048,0.7248,2.7234,-1.9139
2025-10-17T18:00:52.710Z,-3.0449,-3.7260,0.8249,0.8627,2.7612,-1.6840
2025-10-17T18:00:52.720Z,-3.1443,-3.6133,0.7702,1.0228,2.5423,-1.4166
2025-10-17T18:00:52.730Z,-4.2784,-3.9334,0.3956,1.1681,2.0725,-1.1854
