time,gyroX_mdps_filtered,gyroY_mdps_filtered,gyroZ_mdps_filtered,accX_mg_filtered,accY_mg_filtered,accZ_mg_filtered,magX_mG_filtered,magY_mG_filtered,magZ_mG_filtered
0.0,234.14083704920995,-172.8540441456878,216.96050998051044,-640.1931700322447,638.3319055704576,-120.09978095410068,0.0,0.0,0.0
0.005,196.13753871333174,-167.3551354695422,205.5453453931382,-626.3808067746475,617.704831909325,-129.51748465908997,0.0,0.0,0.0
0.01,158.93099054910732,-161.88437994808928,194.4869142913282,-612.9642440729704,597.9190428404453,-138.5236701028665,0.0,0.0,0.0
0.014,122.92052143931805,-156.43631418099454,183.90377279489132,-600.105880659586,579.0003522708424,-147.0424040678037,0.0,0.0,0.0
0.019,88.48018164562264,-151.00354915755008,173.91057232541172,-587.9621048277668,560.9669990236465,-155.00148378902315,0.0,0.0,0.0
0.024,55.95043597756948,-145.57728905656708,164.61605040215306,-576.6800057095393,543.830712917553,-162.33340024335754,0.0,0.0,0.0
0.028,25.630762712801328,-140.14782154820637,156.12098777923586,-566.3942310465334,527.5974734739682,-168.97633027408546,0.0,0.0,0.0
0.033,-2.22660816437256,-134.7049633770519,148.5161790021692,-557.2240763408153,512.2678843608134,-174.87514616381094,0.0,0.0,0.0
0.038,-27.42161856463135,-129.23845668217461,141.88047926013567,-549.2708836460788,497.837120911013,-179.98242133975853,0.0,0.0,0.0
0.042,-49.80981441992819,-123.73832176696656,136.27899909999329,-542.6158164009012,484.29445045810974,-184.2594009871702,0.0,0.0,0.0
0.047,-69.30418769045723,-118.19517947967753,131.7615186857014,-537.3180611182356,471.62237272672024,-187.6768978887057,0.0,0.0,0.0
0.052,-85.87539053768782,-112.60056035136489,128.36118533074432,-533.4134897278436,459.7954749001859,-190.21606810723296,0.0,0.0,0.0
0.057,-99.55034735643389,-106.94721810126413,126.09354439910621,-530.9138003334575,448.77913687926593,-191.86901913732925,0.0,0.0,0.0
0.061,-110.40935220206457,-101.22946242498176,124.95593776301645,-529.8061410372114,438.5282505996982,-192.63920537678484,0.0,0.0,0.0
0.066,-118.58179594038884,-95.4435208054265,124.92728874873444,-530.0532123958931,428.9861288126781,-192.54157228821572,0.0,0.0,0.0
0.071,-124.24071659256417,-89.58793227396089,125.96827942665031,-531.5938391104409,420.08377168460765,-191.60242109624068,0.0,0.0,0.0
0.075,-127.59640556089654,-83.66396839157902,128.02191548849268,-534.343999876393,411.7396347931376,-189.85897957728304,0.0,0.0,0.0
0.08,-128.88932917810675,-77.6760688269377,131.01446535879936,-538.1983043697272,403.86000277429196,-187.35868038764679,0.0,0.0,0.0
0.085,-128.38263717756672,-71.63227132233634,134.85675275048158,-543.0319061670936,396.3400239703216,-184.15816511292178,0.0,0.0,0.0
0.089,-126.35452666467323,-65.54460923041557,139.4457746441963,-548.7028381689956,389.06540886028625,-180.3220483133162,0.0,0.0,0.0
