time,gyroX_mdps_filtered,gyroY_mdps_filtered,gyroZ_mdps_filtered,accX_mg_filtered,accY_mg_filtered,accZ_mg_filtered,magX_mG_filtered,magY_mG_filtered,magZ_mG_filtered
0.0,-62.91138791488207,52.35697401540386,-220.83015816944666,-931.3749315207637,563.818564248282,-302.2342080809687,0.0,0.0,0.0
0.005,-54.41155909618442,63.03443335039424,-206.8015473625265,-955.1461232603476,540.924361240939,-298.77529988205043,0.0,0.0,0.0
0.009,-46.409731674406686,73.27672909409623,-193.2738324212761,-977.5979427644805,518.8413790940342,-295.2168275108549,0.0,0.0,0.0
0.014,-39.00007339197119,82.95503031707901,-180.36534446702,-998.4867056309138,497.8130932713517,-291.5891279294796,0.0,0.0,0.0
0.019,-32.27038098243824,91.94311993930467,-168.1859131932682,-1017.585858903088,478.06669143488614,-287.92197444264724,0.0,0.0,0.0
0.023,-26.3003810461145,100.11949348820767,-156.8346860683476,-1034.6903719185075,459.80831686924694,-284.2438942273182,0.0,0.0,0.0
0.028,-21.16001813781932,107.36939775746514,-146.39822675920033,-1049.6207240783258,443.2187518665443,-280.5815889116534,0.0,0.0,0.0
0.032,-16.907765486377592,113.58676693413383,-136.9489234422257,-1062.226385533598,428.44966065675845,-276.9594787771741,0.0,0.0,0.0
0.037,-13.589011487560636,118.67601912920412,-128.54370790422487,-1072.388712698472,415.6205000354862,-273.39938043070526,0.0,0.0,0.0
0.042,-11.234588443492882,122.55368108209562,-121.22307210432855,-1080.0232043572864,404.81619267724983,-269.9203165529744,0.0,0.0,0.0
0.047,-9.859516590659528,125.14981274125498,-115.01037208784757,-1085.0810816311243,396.08564252034336,-266.53844626694683,0.0,0.0,0.0
0.052,-9.462035726484233,126.40920660606947,-109.9114236816843,-1087.550164158117,389.4411518878622,-263.26709706879564,0.0,0.0,0.0
0.056,-10.022988882404219,126.29233970202482,-105.91441037312556,-1087.4550164029022,384.8587746011406,-260.11687463458975,0.0,0.0,0.0
0.061,-11.505608324758965,124.77605936074947,-102.99013264324765,-1084.856336110133,382.27960822018673,-257.09582491224944,0.0,0.0,0.0
0.066,-13.855735741398435,121.85398778716828,-101.09262573295186,-1079.8495580956476,381.6119937477545,-254.20962309885354,0.0,0.0,0.0
