time,gyroX_mdps_filtered,gyroY_mdps_filtered,gyroZ_mdps_filtered,accX_mg_filtered,accY_mg_filtered,accZ_mg_filtered,magX_mG_filtered,magY_mG_filtered,magZ_mG_filtered
0.0,119.93839145061224,256.5715224451592,-78.86047450638162,-1255.3782238782626,773.5437430867274,-119.63345331849649,0.0,0.0,0.0
0.004,99.13410564556982,257.94875868612246,-86.78708575165597,-1241.3623470273642,735.7878031311056,-129.08655483305316,0.0,0.0,0.0
0.009,78.74620254481563,259.12337318060656,-95.18048119753502,-1226.9858298568308,698.7301517550932,-138.71027598512813,0.0,0.0,0.0
0.014,58.99963476135071,259.96986346624044,-104.01084323600547,-1212.2160451781435,662.7111842229849,-148.47480538445492,0.0,0.0,0.0
0.018,40.106040428769546,260.3641664197715,-113.23826868788983,-1197.0278189006601,628.0583765246017,-158.3474944290211,0.0,0.0,0.0
0.023,22.258954781422684,260.18658497969597,-122.81248547322073,-1181.4060296765933,595.0800664517652,-168.29266412899628,0.0,0.0,0.0
0.028,5.6296297623996985,259.32450329177243,-132.67272227661175,-1165.3475928499702,564.0597559937867,-178.27150397216454,0.0,0.0,0.0
0.033,-9.636408826196684,257.67481072461464,-142.74775644131142,-1148.862712853766,535.2510800048977,-188.2420779329423,0.0,0.0,0.0
0.037,-23.421975393139356,255.14597707404093,-152.95617513579325,-1131.975355196201,508.8735412528478,-198.15944556317686,0.0,0.0,0.0
0.042,-35.63995419534031,251.6597435209818,-163.20688760439086,-1114.72295491148,485.1090672879388,-207.975900395351,0.0,0.0,0.0
0.047,-46.23412133818349,247.15241506844575,-173.3999213613664,-1097.1554350625079,464.0994064930598,-217.64132316120725,0.0,0.0,0.0
0.051,-55.17906770699051,241.57575978422548,-183.42752808879027,-1079.3336509899434,445.94435409098566,-227.10364287298813,0.0,0.0,0.0
0.056,-62.47926403645114,234.8975381012048,-193.1756202033604,-1061.3274000226922,430.7007847976535,-236.3093946316394,0.0,0.0,0.0
0.061,-68.16734108623669,227.10170075850618,-202.52555428108678,-1043.2131416016489,418.38246395643455,-245.2043596845361,0.0,0.0,0.0
0.065,-72.30168546887316,218.1883049685743,-211.35626677703186,-1025.071561996085,408.9606079146057,-253.7342711301849,0.0,0.0,0.0
0.07,-74.96347253811655,208.17320358059163,-219.54674806616634,-1006.9850968304112,402.3651626545742,-261.84556754289173,0.0,0.0,0.0
0.075,-76.25327032347901,197.08756102256146,-226.97881567505812,-989.0355008811346,398.48676538132315,-269.4861761246657,0.0,0.0,0.0
0.079,-76.28735241028929,184.9772435074827,-233.54012236964843,-971.3015346694579,397.17934670357914,-276.60630648032276,0.0,0.0,0.0
0.084,-75.19385450603538,171.9021207797842,-239.1273149704936,-953.8568246126622,398.26332194186966,-283.15923589365667,0.0,0.0,0.0
0.089,-73.10890161390896,157.93530365185654,-243.64924830442524,-936.7679469935563,401.5293106670514,-289.10206729706687,0.0,0.0,0.0
0.094,-70.17282147665212,143.16232663676664,-247.0301539011782,-920.0927816366411,406.7423157086757,-294.396441929396,0.0,0.0,0.0
0.098,-66.52654558022735,127.68026966130846,-249.21265974368637,-903.8791740351082,413.64628715782345,-299.00918969824403,0.0,0.0,0.0
0.103,-62.30828262302622,111.5967994549899,-250.1605520861037,-888.1639320398947,421.9689923612863,-302.9129014225422,0.0,0.0,0.0
0.107,-57.650533125553736,95.02910200569066,-249.86116515327765,-872.9721662550304,431.4271083329698,-306.0864087130115,0.0,0.0,0.0
0.112,-52.67749967191642,78.10267385284229,-248.32728498244683,-858.3169659389717,441.7314485407042,-308.5151595363066,0.0,0.0,0.0
0.117,-47.5029356015237,60.94994228381457,-245.59846321627907,-844.1993885694609,452.59223354524954,-310.1914803851752,0.0,0.0,0.0
0.122,-42.228465050720956,43.708692203212486,-241.74165398026344,-830.6087333051058,463.72431644861376,-311.11471901533963,0.0,0.0,0.0
0.126,-36.942398018948346,26.520289679052144,-236.8511081565522,-817.5230659788132,474.85227952657397,-311.29126455443395,0.0,0.0,0.0
0.131,-31.71905449956108,9.527707901782493,-231.0474814380903,-804.9099647166448,485.7153251520486,-310.7344443881708,0.0,0.0,0.0
0.136,-26.618600321387753,-7.126620891056297,-224.4761348970481,-792.7274601606607,496.07188826953717,-309.4642997885452,0.0,0.0,0.0
0.141,-21.687383025810366,-23.303086005837912,-217.30463020963174,-780.9251524168442,505.70389654118975,-307.50724498108156,0.0,0.0,0.0
0.145,-16.95873876935235,-38.86725384790443,-209.71944674602165,-769.4454972787452,514.4205980616906,-304.8956172586084,0.0,0.0,0.0
0.149,-12.454222071332193,-53.69222848058251,-201.9219740835486,-758.2252643624525,522.0618681178315,-301.6671286438313,0.0,0.0,0.0
0.155,-8.185190871344416,-67.66093955695943,-194.12385995399734,-747.1971757141072,528.5008999034686,-297.86423228180064,0.0,0.0,0.0
0.159,-4.154661256126196,-80.6682777523263,-186.54181864090575,-736.2917320199541,533.6461831888373,-293.5334191904551,0.0,0.0,0.0
0.164,-0.35933086895456495,-92.62300140326566,-179.39202682568558,-725.4392239454215,537.442682407683,-288.7244633041275,0.0,0.0,0.0
0.169,3.2083402563409718,-103.44934728986748,-172.8842520133727,-714.5719102667374,539.872142819744,-283.48963475362854,0.0,0.0,0.0
0.173,6.558105034161432,-113.08829229889564,-167.21587359968893,-703.6263258096953,540.9524800614314,-277.88290253753877,0.0,0.0,0.0
0.178,9.700067052862877,-121.49842926716131,-162.5659694354865,-692.5456639076502,540.7362422843757,-271.95914770948656,0.0,0.0,0.0
0.183,12.64307033294978,-128.65643778650343,-159.08965061761032,-681.2821616427944,539.3081715147151,-265.77340676361615,0.0,0.0,0.0
0.188,15.393407362948851,-134.55714767470138,-156.91283168871755,-669.7994017626651,536.7819283891621,-259.38016197951845,0.0,0.0,0.0
0.192,17.953884186566896,-139.21320788448696,-156.12762114019958,-658.0744331227604,533.2960799857834,-252.83269128526928,0.0,0.0,0.0
0.197,20.323252181627936,-142.65438567514656,-156.7885089227538,-646.09960312663,529.0094829369219,-246.1824854863083,0.0,0.0,0.0
0.202,22.49598749239552,-144.92652924817028,-158.90951393593267,-633.8839935943187,524.0962221826824,-239.478736493753,0.0,0.0,0.0
0.206,24.462373026606752,-146.09023181916137,-162.4624331491567,-621.4543590845632,518.7402876449858,-232.76789705790029,0.0,0.0,0.0
0.211,26.208817066967207,-146.21923686736383,-167.37630252146764,-608.8554861715043,513.130183478622,-226.09331054884407,0.0,0.0,0.0
0.216,27.718329615896916,-145.3986239334552,-173.53813826527005,-596.1499232519401,507.4536631548639,-219.49490842967205,0.0,0.0,0.0
0.22,28.97107453142959,-143.72281281671422,-180.79497871717675,-583.4170701118124,501.89276554941904,-213.00897320498515,0.0,0.0,0.0
0.225,29.944922505339754,-141.29342238189588,-188.95719701209515,-570.7516597330459,496.61929318375684,-206.66796579011066,0.0,0.0,0.0
0.23,30.615945513098495,-138.21701932439746,-197.80300645607593,-558.2617058279949,491.7908284785492,-200.5004182381934,0.0,0.0,0.0
0.235,30.958815333794302,-134.60279278871042,-207.08403527305884,-546.0660227780666,487.54733433845826,-194.53089507593634,0.0,0.0,0.0
